"","SYMBOL","ENSEMBL","gene"
"CCDC144NL","CCDC144NL","ENSG00000205212","CCDC144NL"
"CCDC144NL-AS1","CCDC144NL-AS1","ENSG00000233098","CCDC144NL-AS1"
"CCDC146","CCDC146","ENSG00000135205","CCDC146"
"CCDC148","CCDC148","ENSG00000153237","CCDC148"
"CCDC148-AS1","CCDC148-AS1","ENSG00000227480","CCDC148-AS1"
"CCDC149","CCDC149","ENSG00000181982","CCDC149"
"CCDC15","CCDC15","ENSG00000149548","CCDC15"
"CCDC150","CCDC150","ENSG00000144395","CCDC150"
"CCDC151","CCDC151","ENSG00000198003","CCDC151"
"CCDC152","CCDC152","ENSG00000198865","CCDC152"
"CCDC153","CCDC153","ENSG00000248712","CCDC153"
"CCDC154","CCDC154","ENSG00000197599","CCDC154"
"CCDC157","CCDC157","ENSG00000187860","CCDC157"
"CCDC158","CCDC158","ENSG00000163749","CCDC158"
"CCDC159","CCDC159","ENSG00000183401","CCDC159"
"CCDC160","CCDC160","ENSG00000203952","CCDC160"
"CCDC163","CCDC163","ENSG00000280670","CCDC163"
"CCDC166","CCDC166","ENSG00000255181","CCDC166"
"CCDC167","CCDC167","ENSG00000198937","CCDC167"
"CCDC168","CCDC168","ENSG00000175820","CCDC168"
"CCDC169","CCDC169","ENSG00000242715","CCDC169"
"CCDC17","CCDC17","ENSG00000159588","CCDC17"
"CCDC170","CCDC170","ENSG00000120262","CCDC170"
"CCDC171","CCDC171","ENSG00000164989","CCDC171"
"CCDC172","CCDC172","ENSG00000182645","CCDC172"
"CCDC173","CCDC173","ENSG00000154479","CCDC173"
"CCDC174","CCDC174","ENSG00000154781","CCDC174"
"CCDC175","CCDC175","ENSG00000151838","CCDC175"
"CCDC177","CCDC177","ENSG00000267909","CCDC177"
"CCDC178","CCDC178","ENSG00000166960","CCDC178"
"CCDC179","CCDC179","ENSG00000255359","CCDC179"
"CCDC18","CCDC18","ENSG00000122483","CCDC18"
"CCDC180","CCDC180","ENSG00000197816","CCDC180"
"CCDC181","CCDC181","ENSG00000117477","CCDC181"
"CCDC182","CCDC182","ENSG00000166329","CCDC182"
"CCDC183","CCDC183","ENSG00000213213","CCDC183"
"CCDC183-AS1","CCDC183-AS1","ENSG00000228544","CCDC183-AS1"
"CCDC184","CCDC184","ENSG00000177875","CCDC184"
"CCDC185","CCDC185","ENSG00000178395","CCDC185"
"CCDC186","CCDC186","ENSG00000165813","CCDC186"
"CCDC187","CCDC187","ENSG00000260220","CCDC187"
"CCDC188","CCDC188","ENSG00000234409","CCDC188"
"CCDC189","CCDC189","ENSG00000196118","CCDC189"
"CCDC190","CCDC190","ENSG00000185860","CCDC190"
"CCDC191","CCDC191","ENSG00000163617","CCDC191"
"CCDC192","CCDC192","ENSG00000230561","CCDC192"
"CCDC194","CCDC194","ENSG00000269720","CCDC194"
"CCDC196","CCDC196","ENSG00000196553","CCDC196"
"CCDC197","CCDC197","ENSG00000175699","CCDC197"
"CCDC198","CCDC198","ENSG00000100557","CCDC198"
"CCDC200","CCDC200","ENSG00000236383","CCDC200"
"CCDC22","CCDC22","ENSG00000101997","CCDC22"
"CCDC24","CCDC24","ENSG00000159214","CCDC24"
"CCDC25","CCDC25","ENSG00000147419","CCDC25"
"CCDC26","CCDC26","ENSG00000229140","CCDC26"
"CCDC27","CCDC27","ENSG00000162592","CCDC27"
"CCDC28A","CCDC28A","ENSG00000024862","CCDC28A"
"CCDC28B","CCDC28B","ENSG00000160050","CCDC28B"
"CCDC3","CCDC3","ENSG00000151468","CCDC3"
"CCDC30","CCDC30","ENSG00000186409","CCDC30"
"CCDC32","CCDC32","ENSG00000128891","CCDC32"
"CCDC33","CCDC33","ENSG00000140481","CCDC33"
"CCDC34","CCDC34","ENSG00000109881","CCDC34"
"CCDC37-DT","CCDC37-DT","ENSG00000249833","CCDC37-DT"
"CCDC38","CCDC38","ENSG00000165972","CCDC38"
"CCDC39","CCDC39","ENSG00000284862","CCDC39"
"CCDC40","CCDC40","ENSG00000141519","CCDC40"
"CCDC42","CCDC42","ENSG00000161973","CCDC42"
"CCDC43","CCDC43","ENSG00000180329","CCDC43"
"CCDC47","CCDC47","ENSG00000108588","CCDC47"
"CCDC50","CCDC50","ENSG00000152492","CCDC50"
"CCDC51","CCDC51","ENSG00000164051","CCDC51"
"CCDC54","CCDC54","ENSG00000138483","CCDC54"
"CCDC57","CCDC57","ENSG00000176155","CCDC57"
"CCDC58","CCDC58","ENSG00000160124","CCDC58"
"CCDC59","CCDC59","ENSG00000133773","CCDC59"
"CCDC6","CCDC6","ENSG00000108091","CCDC6"
"CCDC60","CCDC60","ENSG00000183273","CCDC60"
"CCDC61","CCDC61","ENSG00000104983","CCDC61"
"CCDC62","CCDC62","ENSG00000130783","CCDC62"
"CCDC63","CCDC63","ENSG00000173093","CCDC63"
"CCDC65","CCDC65","ENSG00000139537","CCDC65"
"CCDC66","CCDC66","ENSG00000180376","CCDC66"
"CCDC68","CCDC68","ENSG00000166510","CCDC68"
"CCDC69","CCDC69","ENSG00000198624","CCDC69"
"CCDC7","CCDC7","ENSG00000216937","CCDC7"
"CCDC70","CCDC70","ENSG00000123171","CCDC70"
"CCDC71","CCDC71","ENSG00000177352","CCDC71"
"CCDC71L","CCDC71L","ENSG00000253276","CCDC71L"
"CCDC73","CCDC73","ENSG00000186714","CCDC73"
"CCDC74A","CCDC74A","ENSG00000163040","CCDC74A"
"CCDC74B","CCDC74B","ENSG00000152076","CCDC74B"
"CCDC77","CCDC77","ENSG00000120647","CCDC77"
"CCDC78","CCDC78","ENSG00000162004","CCDC78"
"CCDC8","CCDC8","ENSG00000169515","CCDC8"
"CCDC80","CCDC80","ENSG00000091986","CCDC80"
"CCDC81","CCDC81","ENSG00000149201","CCDC81"
"CCDC82","CCDC82","ENSG00000149231","CCDC82"
"CCDC83","CCDC83","ENSG00000150676","CCDC83"
"CCDC85A","CCDC85A","ENSG00000055813","CCDC85A"
"CCDC85B","CCDC85B","ENSG00000175602","CCDC85B"
"CCDC85C","CCDC85C","ENSG00000205476","CCDC85C"
"CCDC86","CCDC86","ENSG00000110104","CCDC86"
"CCDC87","CCDC87","ENSG00000182791","CCDC87"
"CCDC88A","CCDC88A","ENSG00000115355","CCDC88A"
"CCDC88B","CCDC88B","ENSG00000168071","CCDC88B"
"CCDC88C","CCDC88C","ENSG00000015133","CCDC88C"
"CCDC89","CCDC89","ENSG00000179071","CCDC89"
"CCDC9","CCDC9","ENSG00000105321","CCDC9"
"CCDC90B","CCDC90B","ENSG00000137500","CCDC90B"
"CCDC91","CCDC91","ENSG00000123106","CCDC91"
"CCDC92","CCDC92","ENSG00000119242","CCDC92"
"CCDC93","CCDC93","ENSG00000125633","CCDC93"
"CCDC96","CCDC96","ENSG00000173013","CCDC96"
"CCDC97","CCDC97","ENSG00000142039","CCDC97"
"CCDC9B","CCDC9B","ENSG00000188549","CCDC9B"
"CCER1","CCER1","ENSG00000197651","CCER1"
"CCER2","CCER2","ENSG00000262484","CCER2"
"CCHCR1","CCHCR1","ENSG00000204536","CCHCR1"
"CCIN","CCIN","ENSG00000185972","CCIN"
"CCK","CCK","ENSG00000187094","CCK"
"CCKAR","CCKAR","ENSG00000163394","CCKAR"
"CCKBR","CCKBR","ENSG00000110148","CCKBR"
"CCL1","CCL1","ENSG00000108702","CCL1"
"CCL11","CCL11","ENSG00000172156","CCL11"
"CCL13","CCL13","ENSG00000181374","CCL13"
"CCL14","CCL14","ENSG00000276409","CCL14"
"CCL15","CCL15","ENSG00000275718","CCL15"
"CCL16","CCL16","ENSG00000275152","CCL16"
"CCL17","CCL17","ENSG00000102970","CCL17"
"CCL18","CCL18","ENSG00000275385","CCL18"
"CCL19","CCL19","ENSG00000172724","CCL19"
"CCL2","CCL2","ENSG00000108691","CCL2"
"CCL20","CCL20","ENSG00000115009","CCL20"
"CCL21","CCL21","ENSG00000137077","CCL21"
"CCL22","CCL22","ENSG00000102962","CCL22"
"CCL23","CCL23","ENSG00000274736","CCL23"
"CCL24","CCL24","ENSG00000106178","CCL24"
"CCL25","CCL25","ENSG00000131142","CCL25"
"CCL26","CCL26","ENSG00000006606","CCL26"
"CCL27","CCL27","ENSG00000213927","CCL27"
"CCL28","CCL28","ENSG00000151882","CCL28"
"CCL3","CCL3","ENSG00000277632","CCL3"
"CCL3L1","CCL3L1","ENSG00000276085","CCL3L1"
"CCL4","CCL4","ENSG00000275302","CCL4"
"CCL4L2","CCL4L2","ENSG00000276070","CCL4L2"
"CCL5","CCL5","ENSG00000271503","CCL5"
"CCL7","CCL7","ENSG00000108688","CCL7"
"CCL8","CCL8","ENSG00000108700","CCL8"
"CCM2","CCM2","ENSG00000136280","CCM2"
"CCM2L","CCM2L","ENSG00000101331","CCM2L"
"CCN1","CCN1","ENSG00000142871","CCN1"
"CCN2","CCN2","ENSG00000118523","CCN2"
"CCN3","CCN3","ENSG00000136999","CCN3"
"CCN4","CCN4","ENSG00000104415","CCN4"
"CCN5","CCN5","ENSG00000064205","CCN5"
"CCN6","CCN6","ENSG00000112761","CCN6"
"CCNA1","CCNA1","ENSG00000133101","CCNA1"
"CCNA2","CCNA2","ENSG00000145386","CCNA2"
"CCNB1","CCNB1","ENSG00000134057","CCNB1"
"CCNB1IP1","CCNB1IP1","ENSG00000100814","CCNB1IP1"
"CCNB2","CCNB2","ENSG00000157456","CCNB2"
"CCNB3","CCNB3","ENSG00000147082","CCNB3"
"CCNC","CCNC","ENSG00000112237","CCNC"
"CCND1","CCND1","ENSG00000110092","CCND1"
"CCND2","CCND2","ENSG00000118971","CCND2"
"CCND2-AS1","CCND2-AS1","ENSG00000255920","CCND2-AS1"
"CCND3","CCND3","ENSG00000112576","CCND3"
"CCNDBP1","CCNDBP1","ENSG00000166946","CCNDBP1"
"CCNE1","CCNE1","ENSG00000105173","CCNE1"
"CCNE2","CCNE2","ENSG00000175305","CCNE2"
"CCNF","CCNF","ENSG00000162063","CCNF"
"CCNG1","CCNG1","ENSG00000113328","CCNG1"
"CCNG2","CCNG2","ENSG00000138764","CCNG2"
"CCNH","CCNH","ENSG00000134480","CCNH"
"CCNI","CCNI","ENSG00000118816","CCNI"
"CCNI2","CCNI2","ENSG00000205089","CCNI2"
"CCNJ","CCNJ","ENSG00000107443","CCNJ"
"CCNJL","CCNJL","ENSG00000135083","CCNJL"
"CCNK","CCNK","ENSG00000090061","CCNK"
"CCNL1","CCNL1","ENSG00000163660","CCNL1"
"CCNL2","CCNL2","ENSG00000221978","CCNL2"
"CCNO","CCNO","ENSG00000152669","CCNO"
"CCNQ","CCNQ","ENSG00000262919","CCNQ"
"CCNT1","CCNT1","ENSG00000129315","CCNT1"
"CCNT2","CCNT2","ENSG00000082258","CCNT2"
"CCNY","CCNY","ENSG00000108100","CCNY"
"CCNYL1","CCNYL1","ENSG00000163249","CCNYL1"
"CCP110","CCP110","ENSG00000103540","CCP110"
"CCPG1","CCPG1","ENSG00000260916","CCPG1"
"CCR1","CCR1","ENSG00000163823","CCR1"
"CCR10","CCR10","ENSG00000184451","CCR10"
"CCR2","CCR2","ENSG00000121807","CCR2"
"CCR3","CCR3","ENSG00000183625","CCR3"
"CCR4","CCR4","ENSG00000183813","CCR4"
"CCR5","CCR5","ENSG00000160791","CCR5"
"CCR6","CCR6","ENSG00000112486","CCR6"
"CCR7","CCR7","ENSG00000126353","CCR7"
"CCR8","CCR8","ENSG00000179934","CCR8"
"CCR9","CCR9","ENSG00000173585","CCR9"
"CCRL2","CCRL2","ENSG00000121797","CCRL2"
"CCS","CCS","ENSG00000173992","CCS"
"CCSAP","CCSAP","ENSG00000154429","CCSAP"
"CCSER1","CCSER1","ENSG00000184305","CCSER1"
"CCSER2","CCSER2","ENSG00000107771","CCSER2"
"CCT2","CCT2","ENSG00000166226","CCT2"
"CCT3","CCT3","ENSG00000163468","CCT3"
"CCT4","CCT4","ENSG00000115484","CCT4"
"CCT5","CCT5","ENSG00000150753","CCT5"
"CCT6A","CCT6A","ENSG00000146731","CCT6A"
"CCT6B","CCT6B","ENSG00000132141","CCT6B"
"CCT7","CCT7","ENSG00000135624","CCT7"
"CCT8","CCT8","ENSG00000156261","CCT8"
"CCT8L2","CCT8L2","ENSG00000198445","CCT8L2"
"CCZ1","CCZ1","ENSG00000122674","CCZ1"
"CCZ1B","CCZ1B","ENSG00000146574","CCZ1B"
"CD101","CD101","ENSG00000134256","CD101"
"CD109","CD109","ENSG00000156535","CD109"
"CD14","CD14","ENSG00000170458","CD14"
"CD151","CD151","ENSG00000177697","CD151"
"CD160","CD160","ENSG00000117281","CD160"
"CD163","CD163","ENSG00000177575","CD163"
"CD163L1","CD163L1","ENSG00000177675","CD163L1"
"CD164","CD164","ENSG00000135535","CD164"
"CD164L2","CD164L2","ENSG00000174950","CD164L2"
"CD177","CD177","ENSG00000204936","CD177"
"CD180","CD180","ENSG00000134061","CD180"
"CD19","CD19","ENSG00000177455","CD19"
"CD1A","CD1A","ENSG00000158477","CD1A"
"CD1B","CD1B","ENSG00000158485","CD1B"
"CD1C","CD1C","ENSG00000158481","CD1C"
"CD1D","CD1D","ENSG00000158473","CD1D"
"CD1E","CD1E","ENSG00000158488","CD1E"
"CD2","CD2","ENSG00000116824","CD2"
"CD200","CD200","ENSG00000091972","CD200"
"CD200R1","CD200R1","ENSG00000163606","CD200R1"
"CD200R1L","CD200R1L","ENSG00000206531","CD200R1L"
"CD207","CD207","ENSG00000116031","CD207"
"CD209","CD209","ENSG00000090659","CD209"
"CD22","CD22","ENSG00000012124","CD22"
"CD226","CD226","ENSG00000150637","CD226"
"CD24","CD24","ENSG00000272398","CD24"
"CD244","CD244","ENSG00000122223","CD244"
"CD247","CD247","ENSG00000198821","CD247"
"CD248","CD248","ENSG00000174807","CD248"
"CD27","CD27","ENSG00000139193","CD27"
"CD27-AS1","CD27-AS1","ENSG00000215039","CD27-AS1"
"CD274","CD274","ENSG00000120217","CD274"
"CD276","CD276","ENSG00000103855","CD276"
"CD28","CD28","ENSG00000178562","CD28"
"CD2AP","CD2AP","ENSG00000198087","CD2AP"
"CD2BP2","CD2BP2","ENSG00000169217","CD2BP2"
"CD2BP2-DT","CD2BP2-DT","ENSG00000260219","CD2BP2-DT"
"CD300A","CD300A","ENSG00000167851","CD300A"
"CD300C","CD300C","ENSG00000167850","CD300C"
"CD300E","CD300E","ENSG00000186407","CD300E"
"CD300LB","CD300LB","ENSG00000178789","CD300LB"
"CD300LD","CD300LD","ENSG00000204345","CD300LD"
"CD300LF","CD300LF","ENSG00000186074","CD300LF"
"CD300LG","CD300LG","ENSG00000161649","CD300LG"
"CD302","CD302","ENSG00000241399","CD302"
"CD320","CD320","ENSG00000167775","CD320"
"CD33","CD33","ENSG00000105383","CD33"
"CD34","CD34","ENSG00000174059","CD34"
"CD36","CD36","ENSG00000135218","CD36"
"CD37","CD37","ENSG00000104894","CD37"
"CD38","CD38","ENSG00000004468","CD38"
"CD3D","CD3D","ENSG00000167286","CD3D"
"CD3E","CD3E","ENSG00000198851","CD3E"
"CD3G","CD3G","ENSG00000160654","CD3G"
"CD4","CD4","ENSG00000010610","CD4"
"CD40","CD40","ENSG00000101017","CD40"
"CD40LG","CD40LG","ENSG00000102245","CD40LG"
"CD44","CD44","ENSG00000026508","CD44"
"CD46","CD46","ENSG00000117335","CD46"
"CD47","CD47","ENSG00000196776","CD47"
"CD48","CD48","ENSG00000117091","CD48"
"CD5","CD5","ENSG00000110448","CD5"
"CD52","CD52","ENSG00000169442","CD52"
"CD53","CD53","ENSG00000143119","CD53"
"CD55","CD55","ENSG00000196352","CD55"
"CD58","CD58","ENSG00000116815","CD58"
"CD59","CD59","ENSG00000085063","CD59"
"CD5L","CD5L","ENSG00000073754","CD5L"
"CD6","CD6","ENSG00000013725","CD6"
"CD63","CD63","ENSG00000135404","CD63"
"CD68","CD68","ENSG00000129226","CD68"
"CD69","CD69","ENSG00000110848","CD69"
"CD7","CD7","ENSG00000173762","CD7"
"CD70","CD70","ENSG00000125726","CD70"
"CD72","CD72","ENSG00000137101","CD72"
"CD74","CD74","ENSG00000019582","CD74"
"CD79A","CD79A","ENSG00000105369","CD79A"
"CD79B","CD79B","ENSG00000007312","CD79B"
"CD80","CD80","ENSG00000121594","CD80"
"CD81","CD81","ENSG00000110651","CD81"
"CD81-AS1","CD81-AS1","ENSG00000238184","CD81-AS1"
"CD82","CD82","ENSG00000085117","CD82"
"CD83","CD83","ENSG00000112149","CD83"
"CD84","CD84","ENSG00000066294","CD84"
"CD86","CD86","ENSG00000114013","CD86"
"CD8A","CD8A","ENSG00000153563","CD8A"
"CD8B","CD8B","ENSG00000172116","CD8B"
"CD8B2","CD8B2","ENSG00000254126","CD8B2"
"CD9","CD9","ENSG00000010278","CD9"
"CD93","CD93","ENSG00000125810","CD93"
"CD96","CD96","ENSG00000153283","CD96"
"CD99","CD99","ENSG00000002586","CD99"
"CD99L2","CD99L2","ENSG00000102181","CD99L2"
"CDA","CDA","ENSG00000158825","CDA"
"CDADC1","CDADC1","ENSG00000102543","CDADC1"
"CDAN1","CDAN1","ENSG00000140326","CDAN1"
"CDC123","CDC123","ENSG00000151465","CDC123"
"CDC14A","CDC14A","ENSG00000079335","CDC14A"
"CDC14B","CDC14B","ENSG00000081377","CDC14B"
"CDC14C","CDC14C","ENSG00000218305","CDC14C"
"CDC16","CDC16","ENSG00000130177","CDC16"
"CDC20","CDC20","ENSG00000117399","CDC20"
"CDC20B","CDC20B","ENSG00000164287","CDC20B"
"CDC23","CDC23","ENSG00000094880","CDC23"
"CDC25A","CDC25A","ENSG00000164045","CDC25A"
"CDC25B","CDC25B","ENSG00000101224","CDC25B"
"CDC25C","CDC25C","ENSG00000158402","CDC25C"
"CDC26","CDC26","ENSG00000176386","CDC26"
"CDC27","CDC27","ENSG00000004897","CDC27"
"CDC34","CDC34","ENSG00000099804","CDC34"
"CDC37","CDC37","ENSG00000105401","CDC37"
"CDC37L1","CDC37L1","ENSG00000106993","CDC37L1"
"CDC37L1-DT","CDC37L1-DT","ENSG00000273061","CDC37L1-DT"
"CDC40","CDC40","ENSG00000168438","CDC40"
"CDC42","CDC42","ENSG00000070831","CDC42"
"CDC42BPA","CDC42BPA","ENSG00000143776","CDC42BPA"
"CDC42BPB","CDC42BPB","ENSG00000198752","CDC42BPB"
"CDC42BPG","CDC42BPG","ENSG00000171219","CDC42BPG"
"CDC42EP1","CDC42EP1","ENSG00000128283","CDC42EP1"
"CDC42EP2","CDC42EP2","ENSG00000149798","CDC42EP2"
"CDC42EP3","CDC42EP3","ENSG00000163171","CDC42EP3"
"CDC42EP4","CDC42EP4","ENSG00000179604","CDC42EP4"
"CDC42EP5","CDC42EP5","ENSG00000167617","CDC42EP5"
"CDC42SE1","CDC42SE1","ENSG00000197622","CDC42SE1"
"CDC42SE2","CDC42SE2","ENSG00000158985","CDC42SE2"
"CDC45","CDC45","ENSG00000093009","CDC45"
"CDC5L","CDC5L","ENSG00000096401","CDC5L"
"CDC6","CDC6","ENSG00000094804","CDC6"
"CDC7","CDC7","ENSG00000097046","CDC7"
"CDC73","CDC73","ENSG00000134371","CDC73"
"CDCA2","CDCA2","ENSG00000184661","CDCA2"
"CDCA3","CDCA3","ENSG00000111665","CDCA3"
"CDCA4","CDCA4","ENSG00000170779","CDCA4"
"CDCA5","CDCA5","ENSG00000146670","CDCA5"
"CDCA7","CDCA7","ENSG00000144354","CDCA7"
"CDCA7L","CDCA7L","ENSG00000164649","CDCA7L"
"CDCA8","CDCA8","ENSG00000134690","CDCA8"
"CDCP1","CDCP1","ENSG00000163814","CDCP1"
"CDCP2","CDCP2","ENSG00000157211","CDCP2"
"CDH1","CDH1","ENSG00000039068","CDH1"
"CDH10","CDH10","ENSG00000040731","CDH10"
"CDH11","CDH11","ENSG00000140937","CDH11"
"CDH12","CDH12","ENSG00000154162","CDH12"
"CDH13","CDH13","ENSG00000140945","CDH13"
"CDH15","CDH15","ENSG00000129910","CDH15"
"CDH16","CDH16","ENSG00000166589","CDH16"
"CDH17","CDH17","ENSG00000079112","CDH17"
"CDH18","CDH18","ENSG00000145526","CDH18"
"CDH18-AS1","CDH18-AS1","ENSG00000249854","CDH18-AS1"
"CDH19","CDH19","ENSG00000071991","CDH19"
"CDH2","CDH2","ENSG00000170558","CDH2"
"CDH20","CDH20","ENSG00000101542","CDH20"
"CDH22","CDH22","ENSG00000149654","CDH22"
"CDH23","CDH23","ENSG00000107736","CDH23"
"CDH23-AS1","CDH23-AS1","ENSG00000223817","CDH23-AS1"
"CDH24","CDH24","ENSG00000139880","CDH24"
"CDH26","CDH26","ENSG00000124215","CDH26"
"CDH3","CDH3","ENSG00000062038","CDH3"
"CDH4","CDH4","ENSG00000179242","CDH4"
"CDH5","CDH5","ENSG00000179776","CDH5"
"CDH6","CDH6","ENSG00000113361","CDH6"
"CDH7","CDH7","ENSG00000081138","CDH7"
"CDH8","CDH8","ENSG00000150394","CDH8"
"CDH9","CDH9","ENSG00000113100","CDH9"
"CDHR1","CDHR1","ENSG00000148600","CDHR1"
"CDHR2","CDHR2","ENSG00000074276","CDHR2"
"CDHR3","CDHR3","ENSG00000128536","CDHR3"
"CDHR4","CDHR4","ENSG00000187492","CDHR4"
"CDHR5","CDHR5","ENSG00000099834","CDHR5"
"CDIP1","CDIP1","ENSG00000089486","CDIP1"
"CDIPT","CDIPT","ENSG00000103502","CDIPT"
"CDK1","CDK1","ENSG00000170312","CDK1"
"CDK10","CDK10","ENSG00000185324","CDK10"
"CDK11A","CDK11A","ENSG00000008128","CDK11A"
"CDK11B","CDK11B","ENSG00000248333","CDK11B"
"CDK12","CDK12","ENSG00000167258","CDK12"
"CDK13","CDK13","ENSG00000065883","CDK13"
"CDK14","CDK14","ENSG00000058091","CDK14"
"CDK15","CDK15","ENSG00000138395","CDK15"
"CDK16","CDK16","ENSG00000102225","CDK16"
"CDK17","CDK17","ENSG00000059758","CDK17"
"CDK18","CDK18","ENSG00000117266","CDK18"
"CDK19","CDK19","ENSG00000155111","CDK19"
"CDK2","CDK2","ENSG00000123374","CDK2"
"CDK20","CDK20","ENSG00000156345","CDK20"
"CDK2AP1","CDK2AP1","ENSG00000111328","CDK2AP1"
"CDK2AP2","CDK2AP2","ENSG00000167797","CDK2AP2"
"CDK3","CDK3","ENSG00000250506","CDK3"
"CDK4","CDK4","ENSG00000135446","CDK4"
"CDK5","CDK5","ENSG00000164885","CDK5"
"CDK5R1","CDK5R1","ENSG00000176749","CDK5R1"
"CDK5R2","CDK5R2","ENSG00000171450","CDK5R2"
"CDK5RAP1","CDK5RAP1","ENSG00000101391","CDK5RAP1"
"CDK5RAP2","CDK5RAP2","ENSG00000136861","CDK5RAP2"
"CDK5RAP3","CDK5RAP3","ENSG00000108465","CDK5RAP3"
"CDK6","CDK6","ENSG00000105810","CDK6"
"CDK7","CDK7","ENSG00000134058","CDK7"
"CDK8","CDK8","ENSG00000132964","CDK8"
"CDK9","CDK9","ENSG00000136807","CDK9"
"CDKAL1","CDKAL1","ENSG00000145996","CDKAL1"
"CDKL1","CDKL1","ENSG00000100490","CDKL1"
"CDKL2","CDKL2","ENSG00000138769","CDKL2"
"CDKL3","CDKL3","ENSG00000006837","CDKL3"
"CDKL4","CDKL4","ENSG00000205111","CDKL4"
"CDKL5","CDKL5","ENSG00000008086","CDKL5"
"CDKN1A","CDKN1A","ENSG00000124762","CDKN1A"
"CDKN1B","CDKN1B","ENSG00000111276","CDKN1B"
"CDKN1C","CDKN1C","ENSG00000129757","CDKN1C"
"CDKN2A","CDKN2A","ENSG00000147889","CDKN2A"
"CDKN2AIP","CDKN2AIP","ENSG00000168564","CDKN2AIP"
"CDKN2AIPNL","CDKN2AIPNL","ENSG00000237190","CDKN2AIPNL"
"CDKN2B","CDKN2B","ENSG00000147883","CDKN2B"
"CDKN2B-AS1","CDKN2B-AS1","ENSG00000240498","CDKN2B-AS1"
"CDKN2C","CDKN2C","ENSG00000123080","CDKN2C"
"CDKN2D","CDKN2D","ENSG00000129355","CDKN2D"
"CDKN3","CDKN3","ENSG00000100526","CDKN3"
"CDNF","CDNF","ENSG00000185267","CDNF"
"CDO1","CDO1","ENSG00000129596","CDO1"
"CDON","CDON","ENSG00000064309","CDON"
"CDPF1","CDPF1","ENSG00000205643","CDPF1"
"CDR1","CDR1","ENSG00000288642","CDR1"
"CDR2","CDR2","ENSG00000140743","CDR2"
"CDR2L","CDR2L","ENSG00000109089","CDR2L"
"CDRT1","CDRT1","ENSG00000241322","CDRT1"
"CDRT15","CDRT15","ENSG00000223510","CDRT15"
"CDRT15L2","CDRT15L2","ENSG00000214819","CDRT15L2"
"CDRT4","CDRT4","ENSG00000239704","CDRT4"
"CDRT7","CDRT7","ENSG00000259944","CDRT7"
"CDS1","CDS1","ENSG00000163624","CDS1"
"CDS2","CDS2","ENSG00000101290","CDS2"
"CDSN","CDSN","ENSG00000204539","CDSN"
"CDT1","CDT1","ENSG00000167513","CDT1"
"CDV3","CDV3","ENSG00000091527","CDV3"
"CDX1","CDX1","ENSG00000113722","CDX1"
"CDX2","CDX2","ENSG00000165556","CDX2"
"CDX4","CDX4","ENSG00000131264","CDX4"
"CDY1","CDY1","ENSG00000172288","CDY1"
"CDY1B","CDY1B","ENSG00000172352","CDY1B"
"CDY2A","CDY2A","ENSG00000182415","CDY2A"
"CDY2B","CDY2B","ENSG00000129873","CDY2B"
"CDYL","CDYL","ENSG00000153046","CDYL"
"CDYL2","CDYL2","ENSG00000166446","CDYL2"
"CEACAM1","CEACAM1","ENSG00000079385","CEACAM1"
"CEACAM16","CEACAM16","ENSG00000213892","CEACAM16"
"CEACAM18","CEACAM18","ENSG00000213822","CEACAM18"
"CEACAM19","CEACAM19","ENSG00000186567","CEACAM19"
"CEACAM20","CEACAM20","ENSG00000273777","CEACAM20"
"CEACAM21","CEACAM21","ENSG00000007129","CEACAM21"
"CEACAM3","CEACAM3","ENSG00000170956","CEACAM3"
"CEACAM4","CEACAM4","ENSG00000105352","CEACAM4"
"CEACAM5","CEACAM5","ENSG00000105388","CEACAM5"
"CEACAM6","CEACAM6","ENSG00000086548","CEACAM6"
"CEACAM7","CEACAM7","ENSG00000007306","CEACAM7"
"CEACAM8","CEACAM8","ENSG00000124469","CEACAM8"
"CEBPA","CEBPA","ENSG00000245848","CEBPA"
"CEBPA-DT","CEBPA-DT","ENSG00000267296","CEBPA-DT"
"CEBPB","CEBPB","ENSG00000172216","CEBPB"
"CEBPB-AS1","CEBPB-AS1","ENSG00000277449","CEBPB-AS1"
"CEBPD","CEBPD","ENSG00000221869","CEBPD"
"CEBPE","CEBPE","ENSG00000092067","CEBPE"
"CEBPG","CEBPG","ENSG00000153879","CEBPG"
"CEBPZ","CEBPZ","ENSG00000115816","CEBPZ"
"CEBPZOS","CEBPZOS","ENSG00000218739","CEBPZOS"
"CECR2","CECR2","ENSG00000099954","CECR2"
"CECR3","CECR3","ENSG00000241832","CECR3"
"CEL","CEL","ENSG00000170835","CEL"
"CELA1","CELA1","ENSG00000139610","CELA1"
"CELA2A","CELA2A","ENSG00000142615","CELA2A"
"CELA2B","CELA2B","ENSG00000215704","CELA2B"
"CELA3A","CELA3A","ENSG00000142789","CELA3A"
"CELA3B","CELA3B","ENSG00000219073","CELA3B"
"CELF1","CELF1","ENSG00000149187","CELF1"
"CELF2","CELF2","ENSG00000048740","CELF2"
"CELF2-AS1","CELF2-AS1","ENSG00000181800","CELF2-AS1"
"CELF2-AS2","CELF2-AS2","ENSG00000237986","CELF2-AS2"
"CELF3","CELF3","ENSG00000159409","CELF3"
"CELF4","CELF4","ENSG00000101489","CELF4"
"CELF5","CELF5","ENSG00000161082","CELF5"
"CELF6","CELF6","ENSG00000140488","CELF6"
